DATA;VALUTA;BRANCHE;TID;INDHOLD
ULT;DKK;AZZ;2013M09;..
ULT;DKK;AZZ;2013M10;63555.5
ULT;DKK;AZZ;2013M11;62804.8
ULT;DKK;AZZ;2013M12;61131.4
ULT;DKK;AZZ;2014M01;60112.8
ULT;DKK;AZZ;2014M02;59694.0
ULT;DKK;AZZ;2014M03;60908.2
ULT;DKK;AZZ;2014M04;60832.1
ULT;DKK;AZZ;2014M05;60209.2
ULT;DKK;AZZ;2014M06;62689.5
ULT;DKK;AZZ;2014M07;62178.9
ULT;DKK;AZZ;2014M08;62315.5
ULT;DKK;AZZ;2014M09;63907.8
ULT;DKK;AZZ;2014M10;63789.8
ULT;DKK;AZZ;2014M11;62916.3
ULT;DKK;AZZ;2014M12;62616.9
ULT;DKK;AZZ;2015M01;61351.1
ULT;DKK;AZZ;2015M02;60852.1
ULT;DKK;AZZ;2015M03;62650.6
ULT;DKK;AZZ;2015M04;63707.3
ULT;DKK;AZZ;2015M05;64075.2
ULT;DKK;AZZ;2015M06;65557.8
ULT;DKK;AZZ;2015M07;64977.9
ULT;DKK;AZZ;2015M08;66051.8
ULT;DKK;AZZ;2015M09;67172.8
ULT;DKK;AZZ;2015M10;66458.6
ULT;DKK;AZZ;2015M11;65524.9
ULT;DKK;AZZ;2015M12;62949.3
ULT;DKK;AZZ;2016M01;62617.5
ULT;DKK;AZZ;2016M02;61865.6
ULT;DKK;AZZ;2016M03;64014.4
ULT;DKK;AZZ;2016M04;63666.0
ULT;DKK;AZZ;2016M05;63537.6
ULT;DKK;AZZ;2016M06;65745.7
ULT;DKK;AZZ;2016M07;65272.1
ULT;DKK;AZZ;2016M08;64753.5
ULT;DKK;AZZ;2016M09;66304.8
ULT;DKK;AZZ;2016M10;65626.5
ULT;DKK;AZZ;2016M11;64654.9
ULT;DKK;AZZ;2016M12;65200.7
ULT;DKK;AZZ;2017M01;66846.2
ULT;DKK;BZZ;2013M09;..
ULT;DKK;BZZ;2013M10;417.9
ULT;DKK;BZZ;2013M11;447.6
ULT;DKK;BZZ;2013M12;447.3
ULT;DKK;BZZ;2014M01;452.3
ULT;DKK;BZZ;2014M02;463.7
ULT;DKK;BZZ;2014M03;484.5
ULT;DKK;BZZ;2014M04;461.0
ULT;DKK;BZZ;2014M05;439.8
ULT;DKK;BZZ;2014M06;430.4
ULT;DKK;BZZ;2014M07;438.4
ULT;DKK;BZZ;2014M08;450.2
ULT;DKK;BZZ;2014M09;474.4
ULT;DKK;BZZ;2014M10;403.6
ULT;DKK;BZZ;2014M11;416.8
ULT;DKK;BZZ;2014M12;436.3
ULT;DKK;BZZ;2015M01;429.6
ULT;DKK;BZZ;2015M02;444.5
ULT;DKK;BZZ;2015M03;519.6
ULT;DKK;BZZ;2015M04;520.2
ULT;DKK;BZZ;2015M05;484.7
ULT;DKK;BZZ;2015M06;467.3
ULT;DKK;BZZ;2015M07;453.8
ULT;DKK;BZZ;2015M08;449.0
ULT;DKK;BZZ;2015M09;430.7
ULT;DKK;BZZ;2015M10;443.3
ULT;DKK;BZZ;2015M11;559.4
ULT;DKK;BZZ;2015M12;509.9
ULT;DKK;BZZ;2016M01;485.8
ULT;DKK;BZZ;2016M02;508.6
ULT;DKK;BZZ;2016M03;550.4
ULT;DKK;BZZ;2016M04;580.8
ULT;DKK;BZZ;2016M05;588.3
ULT;DKK;BZZ;2016M06;594.5
ULT;DKK;BZZ;2016M07;586.2
ULT;DKK;BZZ;2016M08;591.0
ULT;DKK;BZZ;2016M09;595.7
ULT;DKK;BZZ;2016M10;589.4
ULT;DKK;BZZ;2016M11;589.6
ULT;DKK;BZZ;2016M12;768.4
ULT;DKK;BZZ;2017M01;588.5
ULT;DKK;CZZ;2013M09;..
ULT;DKK;CZZ;2013M10;43869.1
ULT;DKK;CZZ;2013M11;42458.5
ULT;DKK;CZZ;2013M12;43369.3
ULT;DKK;CZZ;2014M01;42091.1
ULT;DKK;CZZ;2014M02;43031.8
ULT;DKK;CZZ;2014M03;44184.3
ULT;DKK;CZZ;2014M04;43537.1
ULT;DKK;CZZ;2014M05;44052.9
ULT;DKK;CZZ;2014M06;44623.7
ULT;DKK;CZZ;2014M07;41634.0
ULT;DKK;CZZ;2014M08;38931.8
ULT;DKK;CZZ;2014M09;43281.9
ULT;DKK;CZZ;2014M10;40384.4
ULT;DKK;CZZ;2014M11;41134.9
ULT;DKK;CZZ;2014M12;41381.5
ULT;DKK;CZZ;2015M01;40968.9
ULT;DKK;CZZ;2015M02;40505.2
ULT;DKK;CZZ;2015M03;38446.0
ULT;DKK;CZZ;2015M04;39415.5
ULT;DKK;CZZ;2015M05;37987.0
ULT;DKK;CZZ;2015M06;41120.4
ULT;DKK;CZZ;2015M07;36287.3
ULT;DKK;CZZ;2015M08;38166.2
ULT;DKK;CZZ;2015M09;38141.3
ULT;DKK;CZZ;2015M10;39820.4
ULT;DKK;CZZ;2015M11;37422.2
ULT;DKK;CZZ;2015M12;38251.1
ULT;DKK;CZZ;2016M01;39878.1
ULT;DKK;CZZ;2016M02;34955.8
ULT;DKK;CZZ;2016M03;41144.7
ULT;DKK;CZZ;2016M04;44224.1
ULT;DKK;CZZ;2016M05;39470.6
ULT;DKK;CZZ;2016M06;40282.2
ULT;DKK;CZZ;2016M07;37527.6
ULT;DKK;CZZ;2016M08;38063.6
ULT;DKK;CZZ;2016M09;38766.8
ULT;DKK;CZZ;2016M10;37453.7
ULT;DKK;CZZ;2016M11;38062.0
ULT;DKK;CZZ;2016M12;39416.5
ULT;DKK;CZZ;2017M01;39238.6
ULT;DKK;DZZ;2013M09;..
ULT;DKK;DZZ;2013M10;8408.1
ULT;DKK;DZZ;2013M11;11290.7
ULT;DKK;DZZ;2013M12;11145.1
ULT;DKK;DZZ;2014M01;13967.8
ULT;DKK;DZZ;2014M02;10008.1
ULT;DKK;DZZ;2014M03;13778.8
ULT;DKK;DZZ;2014M04;10164.2
ULT;DKK;DZZ;2014M05;7620.2
ULT;DKK;DZZ;2014M06;6856.8
ULT;DKK;DZZ;2014M07;7878.6
ULT;DKK;DZZ;2014M08;7680.6
ULT;DKK;DZZ;2014M09;8023.8
ULT;DKK;DZZ;2014M10;9438.9
ULT;DKK;DZZ;2014M11;9819.8
ULT;DKK;DZZ;2014M12;10033.0
ULT;DKK;DZZ;2015M01;8913.5
ULT;DKK;DZZ;2015M02;11487.5
ULT;DKK;DZZ;2015M03;10186.9
ULT;DKK;DZZ;2015M04;8481.9
ULT;DKK;DZZ;2015M05;8534.4
ULT;DKK;DZZ;2015M06;7839.5
ULT;DKK;DZZ;2015M07;8850.8
ULT;DKK;DZZ;2015M08;8795.0
ULT;DKK;DZZ;2015M09;10064.5
ULT;DKK;DZZ;2015M10;9093.9
ULT;DKK;DZZ;2015M11;8742.7
ULT;DKK;DZZ;2015M12;9354.8
ULT;DKK;DZZ;2016M01;11339.7
ULT;DKK;DZZ;2016M02;10399.0
ULT;DKK;DZZ;2016M03;9468.3
ULT;DKK;DZZ;2016M04;10321.3
ULT;DKK;DZZ;2016M05;12917.8
ULT;DKK;DZZ;2016M06;11493.2
ULT;DKK;DZZ;2016M07;10743.2
ULT;DKK;DZZ;2016M08;10938.9
ULT;DKK;DZZ;2016M09;10169.5
ULT;DKK;DZZ;2016M10;9836.5
ULT;DKK;DZZ;2016M11;10269.7
ULT;DKK;DZZ;2016M12;11319.1
ULT;DKK;DZZ;2017M01;10755.1
ULT;DKK;EZZ;2013M09;..
ULT;DKK;EZZ;2013M10;2167.1
ULT;DKK;EZZ;2013M11;2230.8
ULT;DKK;EZZ;2013M12;2359.8
ULT;DKK;EZZ;2014M01;2336.5
ULT;DKK;EZZ;2014M02;2446.4
ULT;DKK;EZZ;2014M03;2250.2
ULT;DKK;EZZ;2014M04;2339.4
ULT;DKK;EZZ;2014M05;2198.0
ULT;DKK;EZZ;2014M06;2420.2
ULT;DKK;EZZ;2014M07;2356.0
ULT;DKK;EZZ;2014M08;2270.5
ULT;DKK;EZZ;2014M09;2092.8
ULT;DKK;EZZ;2014M10;1944.7
ULT;DKK;EZZ;2014M11;2029.6
ULT;DKK;EZZ;2014M12;2084.2
ULT;DKK;EZZ;2015M01;2302.2
ULT;DKK;EZZ;2015M02;2302.3
ULT;DKK;EZZ;2015M03;2059.9
ULT;DKK;EZZ;2015M04;2157.5
ULT;DKK;EZZ;2015M05;2087.1
ULT;DKK;EZZ;2015M06;2161.7
ULT;DKK;EZZ;2015M07;2135.5
ULT;DKK;EZZ;2015M08;2072.9
ULT;DKK;EZZ;2015M09;1980.1
ULT;DKK;EZZ;2015M10;2094.6
ULT;DKK;EZZ;2015M11;2040.2
ULT;DKK;EZZ;2015M12;2279.7
ULT;DKK;EZZ;2016M01;2268.5
ULT;DKK;EZZ;2016M02;2380.5
ULT;DKK;EZZ;2016M03;2279.6
ULT;DKK;EZZ;2016M04;2061.7
ULT;DKK;EZZ;2016M05;2070.1
ULT;DKK;EZZ;2016M06;2359.3
ULT;DKK;EZZ;2016M07;2332.7
ULT;DKK;EZZ;2016M08;2235.5
ULT;DKK;EZZ;2016M09;2173.4
ULT;DKK;EZZ;2016M10;2111.8
ULT;DKK;EZZ;2016M11;2264.9
ULT;DKK;EZZ;2016M12;2178.6
ULT;DKK;EZZ;2017M01;2457.2
ULT;DKK;FZZ;2013M09;..
ULT;DKK;FZZ;2013M10;20717.1
ULT;DKK;FZZ;2013M11;20437.0
ULT;DKK;FZZ;2013M12;20275.3
ULT;DKK;FZZ;2014M01;19537.1
ULT;DKK;FZZ;2014M02;19623.2
ULT;DKK;FZZ;2014M03;20649.2
ULT;DKK;FZZ;2014M04;20894.1
ULT;DKK;FZZ;2014M05;19833.6
ULT;DKK;FZZ;2014M06;20348.0
ULT;DKK;FZZ;2014M07;19317.1
ULT;DKK;FZZ;2014M08;18761.8
ULT;DKK;FZZ;2014M09;20004.9
ULT;DKK;FZZ;2014M10;19110.9
ULT;DKK;FZZ;2014M11;18559.0
ULT;DKK;FZZ;2014M12;19017.9
ULT;DKK;FZZ;2015M01;19315.7
ULT;DKK;FZZ;2015M02;18506.8
ULT;DKK;FZZ;2015M03;20068.3
ULT;DKK;FZZ;2015M04;20272.0
ULT;DKK;FZZ;2015M05;19635.6
ULT;DKK;FZZ;2015M06;20785.9
ULT;DKK;FZZ;2015M07;19742.7
ULT;DKK;FZZ;2015M08;20067.2
ULT;DKK;FZZ;2015M09;21379.2
ULT;DKK;FZZ;2015M10;20632.9
ULT;DKK;FZZ;2015M11;20919.9
ULT;DKK;FZZ;2015M12;21247.3
ULT;DKK;FZZ;2016M01;20433.9
ULT;DKK;FZZ;2016M02;21445.9
ULT;DKK;FZZ;2016M03;22518.3
ULT;DKK;FZZ;2016M04;21262.1
ULT;DKK;FZZ;2016M05;22455.7
ULT;DKK;FZZ;2016M06;23560.3
ULT;DKK;FZZ;2016M07;21714.9
ULT;DKK;FZZ;2016M08;21534.7
ULT;DKK;FZZ;2016M09;22254.9
ULT;DKK;FZZ;2016M10;22177.0
ULT;DKK;FZZ;2016M11;21683.3
ULT;DKK;FZZ;2016M12;22047.0
ULT;DKK;FZZ;2017M01;21172.0
ULT;DKK;GZZ;2013M09;..
ULT;DKK;GZZ;2013M10;54027.8
ULT;DKK;GZZ;2013M11;54307.8
ULT;DKK;GZZ;2013M12;52472.9
ULT;DKK;GZZ;2014M01;51847.0
ULT;DKK;GZZ;2014M02;52149.8
ULT;DKK;GZZ;2014M03;54838.6
ULT;DKK;GZZ;2014M04;55107.7
ULT;DKK;GZZ;2014M05;53609.4
ULT;DKK;GZZ;2014M06;53696.4
ULT;DKK;GZZ;2014M07;50741.1
ULT;DKK;GZZ;2014M08;51603.2
ULT;DKK;GZZ;2014M09;53563.9
ULT;DKK;GZZ;2014M10;53057.8
ULT;DKK;GZZ;2014M11;54965.6
ULT;DKK;GZZ;2014M12;53486.0
ULT;DKK;GZZ;2015M01;53474.8
ULT;DKK;GZZ;2015M02;52944.1
ULT;DKK;GZZ;2015M03;52851.2
ULT;DKK;GZZ;2015M04;52935.5
ULT;DKK;GZZ;2015M05;52018.5
ULT;DKK;GZZ;2015M06;51231.5
ULT;DKK;GZZ;2015M07;49861.8
ULT;DKK;GZZ;2015M08;53549.7
ULT;DKK;GZZ;2015M09;54414.9
ULT;DKK;GZZ;2015M10;55172.9
ULT;DKK;GZZ;2015M11;56139.6
ULT;DKK;GZZ;2015M12;53371.8
ULT;DKK;GZZ;2016M01;53348.9
ULT;DKK;GZZ;2016M02;55178.0
ULT;DKK;GZZ;2016M03;55761.8
ULT;DKK;GZZ;2016M04;55711.1
ULT;DKK;GZZ;2016M05;52884.2
ULT;DKK;GZZ;2016M06;55199.7
ULT;DKK;GZZ;2016M07;52251.7
ULT;DKK;GZZ;2016M08;52569.3
ULT;DKK;GZZ;2016M09;54853.5
ULT;DKK;GZZ;2016M10;56127.7
ULT;DKK;GZZ;2016M11;55602.5
ULT;DKK;GZZ;2016M12;53108.7
ULT;DKK;GZZ;2017M01;54944.8
ULT;DKK;HZZ;2013M09;..
ULT;DKK;HZZ;2013M10;12363.8
ULT;DKK;HZZ;2013M11;12747.8
ULT;DKK;HZZ;2013M12;13375.7
ULT;DKK;HZZ;2014M01;12828.8
ULT;DKK;HZZ;2014M02;13110.6
ULT;DKK;HZZ;2014M03;14247.7
ULT;DKK;HZZ;2014M04;14937.5
ULT;DKK;HZZ;2014M05;14054.1
ULT;DKK;HZZ;2014M06;13216.9
ULT;DKK;HZZ;2014M07;12632.9
ULT;DKK;HZZ;2014M08;12920.6
ULT;DKK;HZZ;2014M09;13337.1
ULT;DKK;HZZ;2014M10;12603.7
ULT;DKK;HZZ;2014M11;13086.8
ULT;DKK;HZZ;2014M12;12102.4
ULT;DKK;HZZ;2015M01;12154.5
ULT;DKK;HZZ;2015M02;11911.8
ULT;DKK;HZZ;2015M03;11657.1
ULT;DKK;HZZ;2015M04;13276.0
ULT;DKK;HZZ;2015M05;12686.8
ULT;DKK;HZZ;2015M06;12294.3
ULT;DKK;HZZ;2015M07;11534.0
ULT;DKK;HZZ;2015M08;11045.5
ULT;DKK;HZZ;2015M09;10352.4
ULT;DKK;HZZ;2015M10;9987.2
ULT;DKK;HZZ;2015M11;10740.2
ULT;DKK;HZZ;2015M12;10985.4
ULT;DKK;HZZ;2016M01;10847.1
ULT;DKK;HZZ;2016M02;10758.0
ULT;DKK;HZZ;2016M03;10881.0
ULT;DKK;HZZ;2016M04;11519.9
ULT;DKK;HZZ;2016M05;11407.0
ULT;DKK;HZZ;2016M06;11657.5
ULT;DKK;HZZ;2016M07;11824.7
ULT;DKK;HZZ;2016M08;12055.0
ULT;DKK;HZZ;2016M09;12499.8
ULT;DKK;HZZ;2016M10;12158.1
ULT;DKK;HZZ;2016M11;12085.7
ULT;DKK;HZZ;2016M12;11974.2
ULT;DKK;HZZ;2017M01;11772.1
ULT;DKK;IZZ;2013M09;..
ULT;DKK;IZZ;2013M10;6826.1
ULT;DKK;IZZ;2013M11;6954.4
ULT;DKK;IZZ;2013M12;6946.1
ULT;DKK;IZZ;2014M01;7006.6
ULT;DKK;IZZ;2014M02;7073.5
ULT;DKK;IZZ;2014M03;7216.5
ULT;DKK;IZZ;2014M04;7137.1
ULT;DKK;IZZ;2014M05;6944.6
ULT;DKK;IZZ;2014M06;7119.3
ULT;DKK;IZZ;2014M07;6449.6
ULT;DKK;IZZ;2014M08;6445.9
ULT;DKK;IZZ;2014M09;6449.6
ULT;DKK;IZZ;2014M10;6438.8
ULT;DKK;IZZ;2014M11;6431.6
ULT;DKK;IZZ;2014M12;6552.6
ULT;DKK;IZZ;2015M01;7178.5
ULT;DKK;IZZ;2015M02;7258.5
ULT;DKK;IZZ;2015M03;7456.1
ULT;DKK;IZZ;2015M04;7246.7
ULT;DKK;IZZ;2015M05;7594.4
ULT;DKK;IZZ;2015M06;7560.3
ULT;DKK;IZZ;2015M07;7086.7
ULT;DKK;IZZ;2015M08;7109.5
ULT;DKK;IZZ;2015M09;7096.4
ULT;DKK;IZZ;2015M10;7070.1
ULT;DKK;IZZ;2015M11;6941.9
ULT;DKK;IZZ;2015M12;6903.6
ULT;DKK;IZZ;2016M01;6957.8
ULT;DKK;IZZ;2016M02;6961.4
ULT;DKK;IZZ;2016M03;7111.0
ULT;DKK;IZZ;2016M04;7068.8
ULT;DKK;IZZ;2016M05;6859.4
ULT;DKK;IZZ;2016M06;6929.7
ULT;DKK;IZZ;2016M07;6693.8
ULT;DKK;IZZ;2016M08;6674.4
ULT;DKK;IZZ;2016M09;6342.7
ULT;DKK;IZZ;2016M10;6320.8
ULT;DKK;IZZ;2016M11;6435.5
ULT;DKK;IZZ;2016M12;7034.9
ULT;DKK;IZZ;2017M01;7236.3
ULT;DKK;JZZ;2013M09;..
ULT;DKK;JZZ;2013M10;6444.6
ULT;DKK;JZZ;2013M11;7282.5
ULT;DKK;JZZ;2013M12;6824.3
ULT;DKK;JZZ;2014M01;6410.0
ULT;DKK;JZZ;2014M02;6370.0
ULT;DKK;JZZ;2014M03;7005.2
ULT;DKK;JZZ;2014M04;7544.1
ULT;DKK;JZZ;2014M05;6553.9
ULT;DKK;JZZ;2014M06;6316.6
ULT;DKK;JZZ;2014M07;6026.0
ULT;DKK;JZZ;2014M08;6148.9
ULT;DKK;JZZ;2014M09;6185.8
ULT;DKK;JZZ;2014M10;5829.5
ULT;DKK;JZZ;2014M11;6301.8
ULT;DKK;JZZ;2014M12;6000.2
ULT;DKK;JZZ;2015M01;5735.4
ULT;DKK;JZZ;2015M02;5960.4
ULT;DKK;JZZ;2015M03;6686.8
ULT;DKK;JZZ;2015M04;7066.2
ULT;DKK;JZZ;2015M05;6704.8
ULT;DKK;JZZ;2015M06;6779.4
ULT;DKK;JZZ;2015M07;6178.7
ULT;DKK;JZZ;2015M08;7103.2
ULT;DKK;JZZ;2015M09;6809.0
ULT;DKK;JZZ;2015M10;6511.2
ULT;DKK;JZZ;2015M11;6536.0
ULT;DKK;JZZ;2015M12;6674.6
ULT;DKK;JZZ;2016M01;6119.2
ULT;DKK;JZZ;2016M02;5701.0
ULT;DKK;JZZ;2016M03;5871.5
ULT;DKK;JZZ;2016M04;6195.3
ULT;DKK;JZZ;2016M05;5796.0
ULT;DKK;JZZ;2016M06;6068.9
ULT;DKK;JZZ;2016M07;5665.1
ULT;DKK;JZZ;2016M08;5752.3
ULT;DKK;JZZ;2016M09;5958.3
ULT;DKK;JZZ;2016M10;6311.0
ULT;DKK;JZZ;2016M11;6354.8
ULT;DKK;JZZ;2016M12;6380.9
ULT;DKK;JZZ;2017M01;6110.8
ULT;DKK;KZZ;2013M09;..
ULT;DKK;KZZ;2013M10;374953.8
ULT;DKK;KZZ;2013M11;377007.1
ULT;DKK;KZZ;2013M12;409662.8
ULT;DKK;KZZ;2014M01;378395.5
ULT;DKK;KZZ;2014M02;376966.4
ULT;DKK;KZZ;2014M03;387744.1
ULT;DKK;KZZ;2014M04;344379.8
ULT;DKK;KZZ;2014M05;337397.7
ULT;DKK;KZZ;2014M06;347392.5
ULT;DKK;KZZ;2014M07;322666.3
ULT;DKK;KZZ;2014M08;322115.3
ULT;DKK;KZZ;2014M09;351235.5
ULT;DKK;KZZ;2014M10;341158.5
ULT;DKK;KZZ;2014M11;339080.4
ULT;DKK;KZZ;2014M12;355698.8
ULT;DKK;KZZ;2015M01;345256.4
ULT;DKK;KZZ;2015M02;357018.1
ULT;DKK;KZZ;2015M03;463141.3
ULT;DKK;KZZ;2015M04;445377.6
ULT;DKK;KZZ;2015M05;437222.7
ULT;DKK;KZZ;2015M06;425480.8
ULT;DKK;KZZ;2015M07;427542.1
ULT;DKK;KZZ;2015M08;321733.0
ULT;DKK;KZZ;2015M09;333875.5
ULT;DKK;KZZ;2015M10;327210.5
ULT;DKK;KZZ;2015M11;323847.9
ULT;DKK;KZZ;2015M12;346863.7
ULT;DKK;KZZ;2016M01;322092.1
ULT;DKK;KZZ;2016M02;337383.2
ULT;DKK;KZZ;2016M03;348793.0
ULT;DKK;KZZ;2016M04;332179.3
ULT;DKK;KZZ;2016M05;342221.2
ULT;DKK;KZZ;2016M06;332582.2
ULT;DKK;KZZ;2016M07;332478.9
ULT;DKK;KZZ;2016M08;318811.1
ULT;DKK;KZZ;2016M09;336483.5
